state_fips,county_fips,year,race,age_adjusted_rate,weight
48,285,2004,0,5126.4,138.31124321616085
48,285,2003,0,4742.7,138.39075113604954
48,285,2002,0,4913.8,138.20636743652588
48,285,2001,0,4833.2,137.6880532217665
48,285,2000,0,4798.5,138.52797551397336
48,285,1999,0,4646.1,138.4160395329963
48,287,2016,0,4597.6,130.5947931580735
48,287,2015,0,4910.1,130.0076920801227
48,287,2014,0,4402.4,129.1200991325518
48,287,2013,0,4165.9,128.79052760199409
48,287,2012,0,3728,128.65846260545786
48,287,2011,0,4183.5,128.8565093427569
48,287,2010,0,4532.3,128.8565093427569
48,287,2009,0,4462.8,128.70508925446578
48,287,2008,0,5266.7,128.64680330268607
48,287,2007,0,5006.6,128.14444974324874
48,287,2006,0,5031.2,127.85929766739687
48,287,2005,0,4416.4,127.7888884058391
48,287,2004,0,4053.4,127.35776379946375
48,287,2003,0,5117.7,127.41271522104849
48,287,2002,0,4696.7,127.00787377166819
48,287,2001,0,4500.4,126.52272523147768
48,287,2000,0,4712.6,125.3036312322991
48,287,1999,0,6037.4,124.24169992397883
48,289,2017,0,4156.1,0
48,289,2016,0,3648.9,131.52566289511716
48,289,2015,0,4294.6,130.77461527376022
48,289,2014,0,4169.2,129.5878080685062
48,289,2013,0,5163.8,129.10460874810008
48,289,2012,0,3898.7,129.41406415069423
48,289,2011,0,5118.6,129.76131935210893
48,289,2010,0,4231.8,129.3986089569745
48,289,2009,0,4789.9,129.85376390386224
48,289,2008,0,4865.8,129.73819792181484
48,289,2007,0,5109.1,128.0234353546256
48,289,2006,0,4844.3,127.80453826057978
48,289,2005,0,4819,126.90153663372244
48,289,2004,0,5398.6,125.84514293368656
48,289,2003,0,4897.9,125.67816039392046
48,289,2002,0,4671.4,125.37144810522051
48,289,2001,0,5126.6,124.30607386608267
48,289,2000,0,4317,124.07658925034973
48,289,1999,0,5591.3,122.58466462000865
48,291,2017,0,5862.3,0
48,291,2016,0,5904.9,285.83911558777254
48,291,2015,0,5805.1,282.3047998175022
48,291,2014,0,5646.2,279.62832474554506
48,291,2013,0,6552.2,277.44008362167136
48,291,2012,0,5349.3,276.45071893558173
48,291,2011,0,5512.5,275.78433603089206
48,291,2010,0,5849.4,275.388816040158
48,291,2009,0,5792.3,273.93612394133055
48,291,2008,0,5818.9,273.70604669973955
48,291,2007,0,6144.7,272.97435777010264
48,291,2006,0,5593.1,272.5233934912744
48,291,2005,0,6095.4,272.5857663195201
48,291,2004,0,6251.1,272.55274718850296
48,291,2003,0,7093.3,271.54005229431624
48,291,2002,0,6771.1,270.7027890510181
48,291,2001,0,6550,267.72934093968854
48,291,2000,0,6229.7,265.66143867712526
