state,county,percent_high_conditional_tested,ihs_bll,race,year,weight,unemp_rate,median_income,percent_non_white,lead_emitted,ap,state_county
20,87,0,0,0,2010,10.440306663513184,0.075,52592,0.02252652496099472,0,6888,762
20,87,0,0,0,2009,10.954451560974121,0.076,53799,0.021169301122426987,0,7937,762
20,87,0,0,0,2008,9.380831718444824,0.053,56770,0.02034395933151245,0,8676,762
20,87,0,0,0,2007,10.677078247070312,0.05,52385,0.019371096044778824,0,8553,762
20,87,1.0101009607315063,0.888498067855835,0,2006,9.949873924255371,0.048,52609,0.01994211971759796,0,3069,762
20,87,2.542372941970825,1.6628540754318237,0,2005,10.862780570983887,0.052000000000000005,50586,0.019259877502918243,0,2589,762
20,89,10.526315689086914,3.049274206161499,0,2012,4.358899116516113,0.043,34195,0.015789473429322243,0,0,763
20,89,11.11111068725586,3.103111743927002,0,2011,4.242640495300293,0.047,38865,0.014886731281876564,0,0,763
20,89,0,0,0,2010,3.316624879837036,0.055,37640,0.01271600928157568,0,0,763
20,89,0,0,0,2009,3.316624879837036,0.042,37336,0.013649658299982548,0,0,763
20,89,0,0,0,2007,3.1622776985168457,0.028999999999999998,35440,0.011874999850988388,0,0,763
20,89,0,0,0,2006,4.358899116516113,0.031,32798,0.011335784569382668,0,0,763
20,89,0,0,0,2005,5.291502475738525,0.032,32500,0.009782941080629826,0,0,763
20,91,0.0401606410741806,0.04014985263347626,1,2012,49.899898529052734,0.046,73712,0.10670491307973862,21.01761892065406,1107658,764
20,91,0.05154639109969139,0.051523592323064804,1,2011,62.28964614868164,0.054000000000000006,70665,0.10460428148508072,17.757736925035715,1058217,764
20,91,0.05181347206234932,0.05179031565785408,1,2010,62.12889862060547,0.061,71389,0.10230370610952377,17.264300048351288,1055285,764
20,91,0.15612801909446716,0.15550057590007782,1,2009,61.99193572998047,0.065,72006,0.09940377622842789,16.691900052130222,1008926,764
20,91,0.128658726811409,0.12830638885498047,1,2008,55.75840759277344,0.046,76250,0.09665429592132568,22.839119993150234,1096029,764
20,91,0.44609665870666504,0.43248751759529114,1,2007,51.865211486816406,0.040999999999999995,71961,0.09359221905469894,38.0110599398613,1050437,764
20,91,0.36439353227615356,0.35677623748779297,1,2006,43.8292121887207,0.040999999999999995,69991,0.09018031507730484,544.3559301868081,946517,764
20,91,0.25369977951049805,0.25105419754981995,1,2005,48.63126754760742,0.046,66926,0.0870864987373352,214133.92674528435,899052,764
20,93,0,0,0,2012,4,0.04,50626,0.03288978338241577,0,0,765
20,93,0,0,0,2011,4.795831680297852,0.044000000000000004,51413,0.033274516463279724,0,0,765
20,93,0,0,0,2010,3.7416574954986572,0.045,49426,0.030325815081596375,0,0,765
20,93,0,0,0,2009,4,0.044000000000000004,48525,0.02664298377931118,0,0,765
20,93,0,0,0,2008,3.872983455657959,0.034,47631,0.026349449530243874,0,0,765
20,93,0,0,0,2007,3.1622776985168457,0.032,46208,0.02571283094584942,0,0,765
20,93,0,0,0,2006,4.242640495300293,0.038,42029,0.024432379752397537,0,0,765
20,93,0,0,0,2005,5.196152210235596,0.042,39186,0.024596093222498894,0,0,765
20,95,0,0,0,2012,5.385164737701416,0.061,49431,0.01889924705028534,19.59000015258789,18673,766
20,95,0,0,0,2011,6.633249759674072,0.063,47684,0.019498607143759727,18.790000915527344,15496,766
20,95,0,0,0,2010,5.5677642822265625,0.069,46574,0.016324449330568314,17.200000762939453,14378,766
20,95,6.666666507720947,2.5958452224731445,0,2009,5.4772257804870605,0.055999999999999994,45307,0.013950538821518421,8.470000267028809,10605,766
20,95,0,0,0,2008,4.795831680297852,0.033,48480,0.013811454176902771,16.040000915527344,13523,766
20,95,0,0,0,2007,4.898979663848877,0.034,44859,0.013731120154261589,14.680000305175781,11553,766
20,95,5.263157844543457,2.362783670425415,0,2006,4.358899116516113,0.037000000000000005,42700,0.014041137881577015,10.619999885559082,11431,766
20,95,0,0,0,2005,4.690415859222412,0.042,41511,0.013092496432363987,13.390000343322754,12003,766
20,97,0,0,0,2012,5,0.038,42543,0.03313373401761055,0,0,767
20,97,0,0,0,2011,5.291502475738525,0.042,39796,0.028940163552761078,0,0,767
20,97,7.317073345184326,2.6879947185516357,0,2010,6.4031243324279785,0.052000000000000005,41166,0.02654176391661167,0,0,767
20,97,0,0,0,2009,3.872983455657959,0.035,40529,0.026506023481488228,0,0,767
20,97,0,0,0,2008,4.123105525970459,0.034,39104,0.025641025975346565,0,0,767
20,97,5.882352828979492,2.4722518920898438,0,2007,4.123105525970459,0.047,36699,0.022559041157364845,0,0,767
20,97,7.5,2.712465286254883,0,2006,6.324555397033691,0.028999999999999998,36578,0.019085224717855453,0,0,767
20,97,0,0,0,2005,5,0.035,35171,0.015544041059911251,0,0,767
20,99,1.1428571939468384,0.9788708686828613,0,2012,13.22875690460205,0.08,36715,0.09214372932910919,0,80022,768
20,99,5.681818008422852,2.4380741119384766,0,2011,9.380831718444824,0.091,37879,0.09241971373558044,0,72551,768
20,99,3.4482758045196533,1.9514127969741821,0,2010,9.32737922668457,0.095,39683,0.09250835329294205,0,68854,768
20,99,6.410256385803223,2.5570757389068604,0,2009,8.83176040649414,0.086,37653,0.0898478776216507,0,70781,768
20,99,6.557376861572266,2.5795018672943115,0,2008,7.8102498054504395,0.053,37501,0.08964472264051437,0,78967,768
20,99,1.2048193216323853,1.0190547704696655,0,2007,9.110433578491211,0.049,36569,0.08641918748617172,0,77256,768
20,99,3.1914894580841064,1.8773220777511597,0,2006,9.69536018371582,0.053,34743,0.08500159531831741,0,80923,768
20,99,0,0,0,2005,8.66025447845459,0.065,33442,0.08478984981775284,0,73410,768
20,101,0,0,0,2012,2.2360680103302,0.047,51366,0.03350970149040222,0,0,769
20,101,0,0,0,2010,3,0.042,44288,0.02819332480430603,0,102,769
20,101,0,0,0,2009,2.4494898319244385,0.033,42632,0.022484542801976204,0,0,769
20,103,0.4580152630805969,0.4433479607105255,1,2012,25.592967987060547,0.064,59662,0.13242314755916595,1651.6500244140625,41318,770
20,103,0.6224066615104675,0.5879432559013367,1,2011,31.048349380493164,0.073,61567,0.13386163115501404,4805.297558784485,32100,770
20,103,1.7057569026947021,1.303735613822937,1,2010,21.656408309936523,0.076,60848,0.13289262354373932,1469.9900388717651,32000,770
20,103,0.41067761182785034,0.3999308943748474,1,2009,22.068077087402344,0.08,57691,0.13335365056991577,24.690000534057617,26110,770
20,103,1.2048193216323853,1.0190547704696655,1,2008,20.371549606323242,0.057999999999999996,60218,0.13381169736385345,30.420000076293945,28211,770
20,103,1.0141987800598145,0.8913781046867371,1,2007,22.203603744506836,0.054000000000000006,58850,0.1349216103553772,22.020000457763672,29858,770
20,103,1.662707805633545,1.281757116317749,1,2006,20.51828384399414,0.055999999999999994,55141,0.13450461626052856,19.610000610351562,27626,770
20,103,1.08695650100708,0.9415443539619446,1,2005,23.494680404663086,0.061,54321,0.13389424979686737,21.760000228881836,24975,770
20,105,1.6666666269302368,1.2837955951690674,0,2012,7.745966911315918,0.048,42847,0.017350157722830772,0,0,771
20,105,1.3888888359069824,1.1315068006515503,0,2011,8.485280990600586,0.052000000000000005,39317,0.01554726343601942,0,0,771
20,105,1.470588207244873,1.1783369779586792,0,2010,8.246211051940918,0.06,39442,0.013609650544822216,0,0,771
20,105,0,0,0,2009,8.426149368286133,0.055,36864,0.012003693729639053,0,0,771
20,105,1.7857142686843872,1.3434818983078003,0,2008,7.4833149909973145,0.037000000000000005,40793,0.011701170355081558,0,0,771
20,105,0,0,0,2007,6.855654716491699,0.039,36490,0.011292719282209873,0,1621,771
20,105,1.5625,1.228939414024353,0,2006,8,0.035,33576,0.010714286006987095,0,1234,771
20,105,1.9047619104385376,1.4002140760421753,0,2005,10.24695110321045,0.043,32322,0.009875108487904072,0,0,771
20,107,0,0,0,2012,5.656854152679443,0.099,43726,0.01972157694399357,11215,2336,772
20,107,2.777777671813965,1.7457282543182373,0,2011,8.485280990600586,0.111,44615,0.020403914153575897,18311.599609375,4829,772
20,107,0,0,0,2010,7.937253952026367,0.11199999999999999,43509,0.018370524048805237,21240,4877,772
20,107,0,0,0,2009,7.6157732009887695,0.11199999999999999,41597,0.016754576936364174,22830,2692,772
20,107,0,0,0,2008,6.480740547180176,0.067,43671,0.016545062884688377,18900,2455,772
20,107,2.702702760696411,1.7199901342391968,0,2007,6.082762718200684,0.064,41251,0.01683911494910717,9450,2492,772
20,107,0,0,0,2006,3.464101552963257,0.062,41260,0.015479875728487968,15690,2414,772
20,107,4.545454502105713,2.219161033630371,0,2005,4.690415859222412,0.07200000000000001,38816,0.014852471649646759,11610,3125,772
20,109,0,0,0,2012,5.291502475738525,0.03,45933,0.02650429867208004,0,0,773
20,109,0,0,0,2011,6.244997978210449,0.033,43315,0.027858177199959755,0,0,773
20,109,0,0,0,2010,5.916079998016357,0.035,42297,0.023431867361068726,0,0,773
20,109,0,0,0,2009,4.4721360206604,0.033,41120,0.02052033692598343,0,0,773
20,109,0,0,0,2008,5.385164737701416,0.027999999999999997,42609,0.020510975271463394,0,0,773
20,109,0,0,0,2007,3,0.027999999999999997,38708,0.018584704026579857,0,208,773
20,109,0,0,0,2006,3.1622776985168457,0.031,36632,0.01994301937520504,0,0,773
20,109,0,0,0,2005,3.1622776985168457,0.035,33055,0.017702186480164528,0,0,773
20,111,1.454545497894287,1.1692821979522705,0,2012,16.5831241607666,0.057999999999999996,39195,0.07625097036361694,0,119430,774
20,111,1.1363636255264282,0.9745879769325256,0,2011,18.76166343688965,0.064,39346,0.07577107846736908,0,123164,774
20,111,1.949860692024231,1.4209849834442139,0,2010,18.947296142578125,0.067,39258,0.07380655407905579,406,116916,774
20,111,0.8928571343421936,0.803548276424408,0,2009,21.1660099029541,0.061,37321,0.06904106587171555,862,113745,774
20,111,1.4117647409439087,1.144801139831543,0,2008,20.615528106689453,0.059000000000000004,39942,0.07142254710197449,1137,132902,774
20,111,0.921658992767334,0.8248794674873352,0,2007,20.832666397094727,0.040999999999999995,38407,0.06940974295139313,340,145879,774
20,111,1.5822784900665283,1.2395533323287964,0,2006,17.77638816833496,0.042,36504,0.06424424797296524,293.3999938964844,165392,774
20,111,2.788844585418701,1.7494702339172363,0,2005,15.842979431152344,0.046,36455,0.06185997277498245,1352,169612,774
20,113,1.0152283906936646,0.8921008110046387,0,2012,14.03566837310791,0.040999999999999995,53969,0.03210524469614029,450.0099999997765,274133,775
20,113,0.9933775067329407,0.8766829967498779,0,2011,17.37814712524414,0.046,48130,0.029918186366558075,1997.0099999997765,262408,775
20,113,0.6578947305679321,0.6178316473960876,0,2010,17.435596466064453,0.052000000000000005,54881,0.028275340795516968,2890,237538,775
20,113,0.7692307829856873,0.7084608674049377,0,2009,16.124515533447266,0.049,49841,0.027342412620782852,1736.300048828125,196411,775
20,113,1.0101009607315063,0.888498067855835,0,2008,14.071247100830078,0.036000000000000004,51352,0.025502663105726242,2049.1099853515625,198694,775
20,113,0.5102040767669678,0.49031996726989746,0,2007,14,0.035,51464,0.024683760479092598,421.70001220703125,196270,775
20,113,0.456620991230011,0.44207999110221863,0,2006,14.798648834228516,0.034,47050,0.024850893765687943,426,188313,775
20,113,2.2935779094696045,1.5677149295806885,0,2005,14.764822959899902,0.038,46236,0.02328510582447052,739.79998779296875,179685,775
20,115,0,0,0,2012,8.185352325439453,0.051,45243,0.024315372109413147,0,9138,776
20,115,2.3255813121795654,1.5804309844970703,0,2011,9.273618698120117,0.057,43749,0.02335405722260475,0,7025,776
20,115,1.3698630332946777,1.1203395128250122,0,2010,8.5440034866333,0.059000000000000004,45899,0.02234680950641632,0,6533,776
20,115,0,0,0,2009,9.05538558959961,0.055,42039,0.019993677735328674,0,6378,776
20,115,0,0,0,2008,6.928203105926514,0.037000000000000005,43983,0.019463565200567245,0,8313,776
20,115,0,0,0,2007,7.937253952026367,0.037000000000000005,41268,0.018887227401137352,0,8464,776
20,115,1.6949152946472168,1.2982394695281982,0,2006,7.681145668029785,0.039,39361,0.018275538459420204,0,7482,776
20,115,1.2345678806304932,1.0379161834716797,0,2005,9,0.042,38153,0.017291730269789696,0,6496,776
20,117,1.1904761791229248,1.0098618268966675,0,2012,12.961481094360352,0.042,44693,0.01698956824839115,156.39999389648438,70807,777
20,117,3.0303030014038086,1.8279857635498047,0,2011,14.071247100830078,0.047,42619,0.015601560473442078,23.989999771118164,59019,777
20,117,1.2765957117080688,1.0641000270843506,0,2010,15.329710006713867,0.051,43584,0.01246414054185152,0,45666,777
20,117,0,0,0,2009,15.099668502807617,0.055999999999999994,43052,0.01215294934809208,0,39125,777
20,117,0.9259259104728699,0.8280137181282043,0,2008,14.696938514709473,0.037000000000000005,42976,0.011893060989677906,0,49591,777
20,117,1.0810810327529907,0.937560498714447,0,2007,13.601470947265625,0.032,40964,0.01172413770109415,9,47910,777
20,117,0,0,0,2006,11.704699516296387,0.035,38911,0.011110018938779831,2145,39778,777
20,117,2.884615421295166,1.7813130617141724,0,2005,10.198039054870605,0.037000000000000005,38111,0.01051606610417366,2014,39293,777
20,119,0,0,0,2012,8.062257766723633,0.034,50863,0.02569933980703354,0,0,778
20,119,0,0,0,2011,10.862780570983887,0.037000000000000005,49141,0.02718832902610302,0,0,778
20,119,3.4482758045196533,1.9514127969741821,0,2010,10.770329475402832,0.042,48634,0.025266826152801514,0,0,778
20,119,1.6129032373428345,1.2558022737503052,0,2009,11.135528564453125,0.038,47697,0.023100843653082848,0,0,778
20,119,2.8985507488250732,1.785867691040039,0,2008,8.306623458862305,0.03,48307,0.02223704755306244,0,0,778
20,119,1.470588207244873,1.1783369779586792,0,2007,8.246211051940918,0.028999999999999998,44142,0.02204899862408638,0,0,778
20,119,0,0,0,2006,9,0.031,40624,0.0214080773293972,0,0,778
20,119,0,0,0,2005,12.165525436401367,0.036000000000000004,39265,0.018534671515226364,0,0,778
20,121,0,0,0,2012,9.69536018371582,0.063,64629,0.030225001275539398,0,26872,779
20,121,1.4354066848754883,1.1583908796310425,0,2011,14.456831932067871,0.071,57580,0.030904199928045273,0,21692,779
20,121,0,0,0,2010,13.527749061584473,0.076,58445,0.029109381139278412,0,22838,779
20,121,0,0,0,2009,12.569805145263672,0.08199999999999999,57705,0.029218677431344986,0,22671,779
20,121,1.2121212482452393,1.0237098932266235,0,2008,12.845232963562012,0.051,61231,0.028228191658854485,0,24366,779
20,121,0,0,0,2007,10.198039054870605,0.047,59153,0.027657844126224518,0,21309,779
20,121,1.8181818723678589,1.359236717224121,0,2006,7.416198253631592,0.046,56177,0.027517639100551605,0,23373,779
20,121,0,0,0,2005,7.348469257354736,0.051,53721,0.027992717921733856,0,21611,779
20,123,1.2048193216323853,1.0190547704696655,0,2012,9.110433578491211,0.03,46204,0.015314177609980106,0,21743,780
20,123,0.8620689511299133,0.7804058790206909,0,2011,10.770329475402832,0.036000000000000004,43511,0.015724269673228264,0,16136,780
20,123,0.9433962106704712,0.8407770395278931,0,2010,10.29563045501709,0.048,42946,0.013551843352615833,5.150000095367432,15130,780
20,123,0,0,0,2009,8.83176040649414,0.046,41771,0.011059190146625042,4.070000171661377,0,780
20,123,0,0,0,2008,7.416198253631592,0.033,44321,0.011616954579949379,2.3399999141693115,18434,780
20,123,0,0,0,2007,6.7082037925720215,0.035,40231,0.011269369162619114,0,14380,780
20,123,0,0,0,2006,8.306623458862305,0.035,37246,0.01112503930926323,0,15297,780
20,123,0.9009009003639221,0.8095363974571228,0,2005,10.535654067993164,0.038,36738,0.010864503681659698,0,17678,780
20,125,2.068965435028076,1.4740591049194336,0,2012,17.029386520385742,0.077,39553,0.12276831269264221,2015.8189678192139,203207,781
20,125,2.3809523582458496,1.6020870208740234,0,2011,17.14642906188965,0.099,36670,0.12380623817443848,2913.978989958763,190798,781
20,125,1.2000000476837158,1.0159732103347778,0,2010,15.81138801574707,0.106,37495,0.12302517890930176,1192.8489958047867,177760,781
20,125,2.25563907623291,1.5524457693099976,0,2009,16.309507369995117,0.098,35966,0.12180729955434799,2307.918980240822,189365,781
20,125,2.4539878368377686,1.6300057172775269,0,2008,12.767145156860352,0.055999999999999994,41913,0.11998423933982849,1305.6780090332031,228049,781
20,125,1.6666666269302368,1.2837955951690674,0,2007,13.416407585144043,0.049,37300,0.11852185428142548,2132.4250020980835,226815,781
